IdPersonal,Nombre,Cedula,Rol,Especialidad,Estado
1,ADMINISTRADOR ADMIN ADMIN ,7654321,ADMINISTRADOR,ANESTESIOLOGÍA,True
2,CLAUDIA MARÍA AGUILAR MOCTEZUMA ,C0000002,TEST IMAGENOLOGIA,RADIOLOGÍA,True
3,RICARDO ALVAREZ SANCHEZ ,C0000003,MNF RADIOLOGO,RADIOLOGÍA,True
4,ANDREA JANET BECERRA ORTEGA ,C0000004,TECNICO RADIOLOGO,RADIOLOGÍA,True
5,IRMA BUENDIA RUIZ ,C0000005,AUXILIAR UNIVERSAL DE OFICINAS,RADIOLOGÍA,True
6,EFREN CERON GONZALEZ ,C0000006,AUXILIAR ALMACENISTA,RADIOLOGÍA,True
7,FERNANDO CONTRERAS RIVERA ,C0000007,,RADIOLOGÍA,True
8,MARIELA DOMINGUEZ HERNANDEZ ,C0000008,,RADIOLOGÍA,True
9,MARISSA DURAN RAMIREZ ,C0000009,,RADIOLOGÍA,True
10,FRANCISCO ESTEBAN GOMEZ ,C0000010,,RADIOLOGÍA,True
11,MERCEDES ESQUIVEL GARCIA ,C0000011,,RADIOLOGÍA,True
12,ALEJANDRA FERNANDEZ PEREZ ,C0000012,,RADIOLOGÍA,True
13,MARIO ALBERTO FUENTES DIAZ ,C0000013,,RADIOLOGÍA,True
14,JOSE ANTONIO GARCIA PACHECO ,C0000014,,RADIOLOGÍA,False
15,GUADALUPE GUTIERREZ RAMIREZ ,C0000015,,RADIOLOGÍA,True
16,LEOPOLDO HERRERA CRUZ ,C0000016,,RADIOLOGÍA,True
17,JOSE HUERTA DIAZ ,C0000017,,RADIOLOGÍA,False
18,JAVIER ITURBIDE PEREZ ,C0000018,,RADIOLOGÍA,False
19,CARLOS IGLESIAS HERRERA ,C0000019,,RADIOLOGÍA,False
20,JULIO CESAR JUAREZ ALVAREZ ,C0000020,,RADIOLOGÍA,False
21,JUAN CARLOS JIMENEZ PEREZ ,C0000021,,RADIOLOGÍA,False
22,ARTURO LANDA HERNANDEZ ,C0000022,,,False
23,MIGUEL ANGEL LUNA RAMIREZ ,C0000023,,,True
24,FERNANDO MIRANDA SUAREZ ,C0000024,,,True
25,RAFAEL MUÑOZ HERNANDEZ ,C0000025,,,True
26,PATRICIA NUÑEZ JIMENEZ ,C0000026,,,True
27,ALEJANDRA NORIEGA MARTINEZ ,C0000027,,,True
28,VERONICA ORTEGA PEREZ ,C0000028,,,True
29,ADRIANA OSORIO HUERTA ,CEDULA,,,True
30,SOFIA PARRA MARIN ,C0000030,,,True
31,ARMANDO PEREZ MENDEZ ,C0000031,,,False
32,ADRIANA QUINTERO MONTIEL ,C0000032,,,False
33,JOSE QUESADA HERNANDEZ ,C0000033,,,False
34,IRAN RAMIREZ VILLANUEVA ,C0000034,,,False
35,CARLOS ROJAS GONZALEZ ,C0000035,,,False
36,KAREN SANCHEZ ACOSTA ,C0000036,,,False
37,ABIGAIL SOTO PAEZ ,C0000037,,,False
38,IVAN TORRES POSADAS ,C0000038,,,False
39,RICARDO TOLEDO HERNANDEZ ,C0000039,,,False
40,CARLOS URIBE GUARDADO ,C0000040,,,False
41,RUBEN USCANGA MENDOZA ,C0000041,,,True
42,JOSEFINA VILLANUEVA BAUTISTA ,C0000042,,,False
43,ROBERTO VIVEROS HERRERA ,C0000043,,,False
44,JOSUE VAZQUEZ HERNANDEZ ,C0000044,,,False
45,MOISES VELEZ DIAZ ,C0000045,,,False
